Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 US Open R64,W vs Zapata Miralles,25.0%,41.7%,66.7%,34.4%,31.0%,54.8%,65.5%,47.1%,45.5%,65.0%,-,16.7%,23.3%,68.0%,-79
2023 US Open R128,W vs Muller,30.0%,41.7%,67.6%,37.2%,36.4%,51.5%,76.2%,49.4%,46.2%,65.0%,-,27.3%,36.4%,56.3%,126
2023 Cincinnati F,W vs Alcaraz,32.8%,43.8%,51.9%,36.6%,41.1%,49.3%,44.2%,47.7%,59.3%,30.4%,0.0%,24.0%,40.0%,60.5%,59
2023 Cincinnati SF,W vs Zverev,36.3%,46.3%,58.3%,43.0%,41.2%,52.9%,66.7%,51.8%,42.1%,43.8%,50.0%,30.8%,38.5%,44.4%,78
2023 Cincinnati QF,W vs Fritz,37.5%,50.0%,71.4%,45.2%,42.3%,61.5%,66.7%,54.2%,35.7%,50.0%,0.0%,40.0%,40.0%,83.3%,196
2023 Cincinnati R16,W vs Monfils,34.8%,41.3%,66.7%,37.2%,37.0%,40.7%,70.6%,41.1%,64.3%,38.5%,-,37.5%,50.0%,60.0%,160
2023 Wimbledon F,L vs Alcaraz,23.4%,34.2%,48.6%,30.2%,25.4%,36.4%,48.9%,36.0%,48.2%,41.9%,28.6%,20.6%,31.7%,48.0%,-10
2023 Wimbledon SF,W vs Sinner,29.5%,35.7%,56.4%,34.9%,40.0%,47.7%,59.0%,49.4%,48.5%,46.9%,33.3%,15.2%,19.6%,53.8%,-79
2023 Wimbledon R16,W vs Hurkacz,49.6%,63.2%,65.0%,57.4%,57.3%,75.3%,73.7%,68.3%,43.2%,48.1%,-,33.3%,36.4%,50.0%,47
2023 Roland Garros F,W vs Ruud,25.7%,43.6%,67.6%,37.8%,29.7%,51.4%,71.2%,46.2%,30.0%,54.5%,75.0%,15.4%,23.1%,59.1%,-23
2023 Roland Garros SF,W vs Alcaraz,27.2%,37.6%,51.1%,33.0%,31.8%,45.5%,58.3%,40.0%,54.5%,54.5%,66.7%,17.6%,20.6%,35.7%,44
2023 Roland Garros QF,W vs Khachanov,24.4%,38.2%,63.4%,30.9%,30.4%,44.3%,65.5%,41.1%,52.5%,53.8%,28.6%,17.4%,32.6%,60.5%,51
2023 Roland Garros R16,W vs Varillas,24.3%,47.1%,70.0%,40.1%,30.4%,57.1%,76.9%,50.2%,40.9%,47.1%,0.0%,0.0%,9.1%,45.5%,-118
2023 Roland Garros R32,W vs Davidovich Fokina,14.9%,19.3%,48.8%,19.2%,18.3%,25.4%,55.2%,25.2%,53.8%,48.9%,20.0%,14.3%,14.3%,33.3%,11
2023 Roland Garros R64,W vs Fucsovics,20.2%,40.4%,53.3%,29.8%,25.0%,45.3%,50.0%,39.8%,53.6%,38.9%,60.0%,12.9%,35.5%,59.3%,8
2023 Rome QF,L vs Rune,27.3%,36.4%,41.5%,33.6%,34.7%,44.9%,40.6%,44.7%,50.0%,56.5%,66.7%,16.0%,24.0%,42.9%,39
2023 Rome R64,W vs Etcheverry,12.3%,40.4%,70.0%,28.9%,14.3%,45.2%,75.0%,36.9%,47.4%,52.2%,-,6.7%,26.7%,57.1%,-79
2023 Banja Luka QF,L vs Lajovic,14.1%,22.4%,54.9%,18.4%,16.9%,27.1%,55.1%,23.1%,50.0%,51.6%,100.0%,8.3%,12.5%,54.5%,-33
2023 Monte Carlo R16,L vs Musetti,6.4%,23.4%,51.9%,17.7%,8.1%,30.6%,54.4%,25.2%,50.0%,66.7%,66.7%,4.0%,12.0%,45.8%,-82
2023 Dubai SF,L vs Medvedev,27.4%,43.5%,51.2%,39.4%,31.0%,54.8%,51.7%,48.6%,47.8%,73.7%,100.0%,22.2%,22.2%,50.0%,1
2023 Dubai QF,W vs Hurkacz,32.7%,43.6%,74.3%,40.5%,35.1%,48.6%,70.8%,46.8%,52.6%,55.6%,-,31.3%,37.5%,81.8%,89
2023 Dubai R16,W vs Griekspoor,48.8%,60.5%,68.4%,56.0%,63.6%,86.4%,75.0%,77.7%,44.4%,46.2%,-,38.9%,38.9%,63.6%,137
2023 Dubai R32,W vs Machac,32.0%,44.0%,55.0%,39.3%,35.0%,53.3%,56.4%,47.2%,55.2%,54.8%,20.0%,34.4%,37.5%,52.4%,184
2023 Australian Open F,W vs Tsitsipas,25.0%,36.0%,69.4%,32.6%,36.4%,48.5%,71.4%,47.9%,43.5%,60.5%,100.0%,3.2%,12.9%,66.7%,-86
2023 Australian Open SF,W vs Paul,30.8%,40.7%,56.9%,37.4%,43.4%,54.7%,56.7%,54.7%,60.0%,50.0%,75.0%,15.2%,24.2%,57.1%,27
2023 Australian Open QF,W vs Rublev,45.5%,50.0%,48.8%,48.4%,57.1%,64.3%,54.2%,61.8%,60.0%,54.8%,50.0%,29.6%,29.6%,42.1%,157
