Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2012 Rome Masters QF,W vs Tsonga,21,11,1.9,19.1%,10.0%,16,10,1.6,16.2%,10.1%,13.1%,3.0%,0.6,10.0%,17.3%
2012 Madrid Masters R32,W vs Gimeno Traver,19,23,0.8,12.2%,14.7%,12,19,0.6,8.7%,13.8%,3.6%,5.1%,0.8,14.7%,19.2%
2012 Monte Carlo Masters F,L vs Nadal,11,22,0.5,12.8%,25.6%,11,22,0.5,13.4%,26.8%,8.5%,4.9%,1.4,17.4%,12.8%
2012 Monte Carlo Masters SF,W vs Berdych,19,33,0.6,10.2%,17.7%,13,27,0.5,8.0%,16.6%,6.7%,1.2%,0.5,9.7%,19.4%
2012 Monte Carlo Masters R16,W vs Dolgopolov,19,24,0.8,12.3%,15.6%,14,22,0.6,9.9%,15.5%,7.7%,2.1%,1.0,13.0%,13.6%
2012 Monte Carlo Masters R32,W vs Seppi,14,22,0.6,10.9%,17.1%,9,21,0.4,7.3%,17.1%,5.7%,1.6%,0.6,9.3%,15.5%
2012 Miami Masters F,W vs Murray,16,36,0.4,10.3%,23.1%,11,35,0.3,7.7%,24.6%,4.9%,2.8%,0.4,9.0%,25.0%
2012 Miami Masters SF,W vs Monaco,17,32,0.5,12.6%,23.7%,16,28,0.6,12.6%,22.0%,6.3%,4.7%,0.2,5.9%,27.4%
2012 Miami Masters QF,W vs Ferrer,17,24,0.7,15.9%,22.4%,13,23,0.6,13.3%,23.5%,10.2%,3.1%,0.4,10.3%,24.3%
2012 Indian Wells Masters SF,L vs Isner,35,17,2.1,15.7%,7.6%,27,15,1.8,14.0%,7.8%,7.3%,5.2%,1.4,22.9%,16.1%
2012 Indian Wells Masters QF,W vs Almagro,12,11,1.1,10.4%,9.6%,7,11,0.6,6.7%,10.6%,2.9%,3.8%,0.5,9.6%,19.1%
2012 Dubai SF,L vs Murray,13,23,0.6,12.3%,21.7%,11,23,0.5,11.5%,24.0%,6.3%,5.2%,0.9,13.2%,15.1%
2012 Australian Open F,W vs Nadal,57,64,0.9,15.6%,17.5%,48,62,0.8,14.1%,18.2%,9.4%,3.2%,0.8,14.5%,17.3%
2012 Australian Open SF,W vs Murray,49,69,0.7,14.2%,20.0%,38,63,0.6,12.3%,20.4%,,,0.5,13.6%,24.9%
2012 Australian Open QF,W vs Ferrer,35,39,0.9,18.5%,20.6%,32,39,0.8,17.5%,21.3%,,,0.5,9.5%,19.0%
2012 Australian Open R16,W vs Hewitt,55,34,1.6,24.3%,15.0%,40,31,1.3,20.1%,15.6%,,,0.6,10.2%,16.4%
2012 Australian Open R32,W vs Mahut,31,8,3.9,26.3%,6.8%,24,7,3.4,22.9%,6.7%,,,0.5,10.2%,22.0%
2012 Australian Open R64,W vs Giraldo,27,21,1.3,19.6%,15.2%,18,19,0.9,14.9%,15.7%,,,0.3,9.4%,28.3%
2012 Australian Open R128,W vs Lorenzi,22,13,1.7,17.9%,10.6%,18,12,1.5,15.9%,10.6%,,,0.3,8.1%,24.4%
2011 Tour Finals RR,L vs Ferrer,9,33,0.3,8.7%,31.7%,7,30,0.2,7.4%,31.6%,4.2%,3.2%,1.3,15.4%,11.5%
2011 Tour Finals RR,L vs Tipsarevic,27,38,0.7,16.1%,22.6%,19,36,0.5,12.7%,24.0%,8.7%,4.0%,0.6,10.7%,17.3%
2011 US Open F,W vs Nadal,55,51,1.1,20.5%,19.0%,48,50,1.0,18.8%,19.6%,11.0%,7.1%,0.9,11.9%,13.8%
2011 US Open SF,W vs Federer,48,35,1.4,15.8%,11.5%,40,29,1.4,14.5%,10.5%,8.0%,5.1%,0.8,16.1%,19.4%
2011 US Open QF,W vs Tipsarevic,36,41,0.9,15.4%,17.5%,28,39,0.7,13.4%,18.7%,6.7%,5.3%,0.6,17.1%,27.4%
2011 US Open R16,W vs Dolgopolov,13,25,0.5,6.5%,12.6%,11,22,0.5,6.0%,12.0%,3.8%,2.2%,0.6,12.6%,22.1%
2011 US Open R32,W vs Davydenko,17,22,0.8,10.6%,13.7%,13,22,0.6,8.4%,14.3%,4.5%,1.3%,0.6,11.2%,19.9%
2011 US Open R64,W vs Berlocq,31,15,2.1,25.2%,12.2%,26,15,1.7,23.6%,13.6%,17.3%,5.5%,0.4,8.9%,21.1%
2011 US Open R128,W vs Niland,14,7,2.0,23.3%,11.7%,11,6,1.8,20.8%,11.3%,5.7%,11.3%,0.2,5.0%,30.0%
